topic,Refid,Bibliography,sampPoint,nSample,sampCountry,sampArea,sampY,targetSpecies,sampledMatrix,agent,anMeth,nPositive,common_name,strain,infectionMethod,chem,route,endpoint,dose
AHAW VBD,585,"B. H. Bird, J. W. K. Githinji, J. M. Macharia, J. L. Kasiiti, R. M. Muriithi, S. G. Gacheru, J. O. Musaa, J. S. Towner, S. A. Reeder, J. B. Oliver, T. L. Stevens, B. R. Erickson, L. T. Morgan, M. L. Khristova, A. L. Hartman, J. A. Comer, P. E. Rollin, T. G. Ksiazek and S. T. Nichol. ""Multiple Virus Lineages Sharing Recent Common Ancestry Were Associated with a Large Rift Valley Fever Outbreak among Livestock in Kenya during 2006-2007"". Journal of Virology 82 (2008): 11152-11166",Farm,110 host (animal or human),Kenya,,2006,Camel,Animal blood,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),23,,,,,,,
AHAW VBD,585,"B. H. Bird, J. W. K. Githinji, J. M. Macharia, J. L. Kasiiti, R. M. Muriithi, S. G. Gacheru, J. O. Musaa, J. S. Towner, S. A. Reeder, J. B. Oliver, T. L. Stevens, B. R. Erickson, L. T. Morgan, M. L. Khristova, A. L. Hartman, J. A. Comer, P. E. Rollin, T. G. Ksiazek and S. T. Nichol. ""Multiple Virus Lineages Sharing Recent Common Ancestry Were Associated with a Large Rift Valley Fever Outbreak among Livestock in Kenya during 2006-2007"". Journal of Virology 82 (2008): 11152-11166",Farm,641 host (animal or human),Kenya,,2006,Sheep,Animal blood,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),17,,,,,,,
AHAW VBD,585,"B. H. Bird, J. W. K. Githinji, J. M. Macharia, J. L. Kasiiti, R. M. Muriithi, S. G. Gacheru, J. O. Musaa, J. S. Towner, S. A. Reeder, J. B. Oliver, T. L. Stevens, B. R. Erickson, L. T. Morgan, M. L. Khristova, A. L. Hartman, J. A. Comer, P. E. Rollin, T. G. Ksiazek and S. T. Nichol. ""Multiple Virus Lineages Sharing Recent Common Ancestry Were Associated with a Large Rift Valley Fever Outbreak among Livestock in Kenya during 2006-2007"". Journal of Virology 82 (2008): 11152-11166",Farm,1226 host (animal or human),Kenya,,2006,Cattle,Animal blood,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),42,,,,,,,
AHAW VBD,594,"A. D. LaBeaud, E. M. Muchiri, M. Ndzovu, M. T. Mwanje, S. Muiruri, C. J. Peters and C. H. King. ""Interepidemic Rift Valley fever virus seropositivity, northeastern Kenya"". Emerging Infectious Diseases 14 (2008): 1240-1246",Household,248 host (animal or human),Kenya,Ijara,2006,Human,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),33,,,,,,,
AHAW VBD,615,"H. M. Youssef, M. A. Ghoneim, N. S. Degheidy, S. M. Habeeb and A. F. A. Said. ""Recent trends for diagnosis of rift valley fever in animals and mosquitoes in Egypt with special reference to the carrier"". Global Veterinaria 2 (2008): 1-6",Farm,101 host (animal or human),Egypt,Kafer El-Sheikh,2004,Cattle,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),96,,,,,,,
AHAW VBD,615,"H. M. Youssef, M. A. Ghoneim, N. S. Degheidy, S. M. Habeeb and A. F. A. Said. ""Recent trends for diagnosis of rift valley fever in animals and mosquitoes in Egypt with special reference to the carrier"". Global Veterinaria 2 (2008): 1-6",Farm,50 host (animal or human),Egypt,El-Beheira,2004,Cattle,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),48,,,,,,,
AHAW VBD,615,"H. M. Youssef, M. A. Ghoneim, N. S. Degheidy, S. M. Habeeb and A. F. A. Said. ""Recent trends for diagnosis of rift valley fever in animals and mosquitoes in Egypt with special reference to the carrier"". Global Veterinaria 2 (2008): 1-6",Farm,30 host (animal or human),Egypt,El-Beheira,2004,Chicken,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),1,,,,,,,
AHAW VBD,615,"H. M. Youssef, M. A. Ghoneim, N. S. Degheidy, S. M. Habeeb and A. F. A. Said. ""Recent trends for diagnosis of rift valley fever in animals and mosquitoes in Egypt with special reference to the carrier"". Global Veterinaria 2 (2008): 1-6",Farm,85 host (animal or human),Egypt,Kafer El Sheikh,2004,Asses,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),38,,,,,,,
AHAW VBD,615,"H. M. Youssef, M. A. Ghoneim, N. S. Degheidy, S. M. Habeeb and A. F. A. Said. ""Recent trends for diagnosis of rift valley fever in animals and mosquitoes in Egypt with special reference to the carrier"". Global Veterinaria 2 (2008): 1-6",Farm,40 host (animal or human),Egypt,El Beheira,2004,Asses,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),17,,,,,,,
AHAW VBD,615,"H. M. Youssef, M. A. Ghoneim, N. S. Degheidy, S. M. Habeeb and A. F. A. Said. ""Recent trends for diagnosis of rift valley fever in animals and mosquitoes in Egypt with special reference to the carrier"". Global Veterinaria 2 (2008): 1-6",Farm,67 host (animal or human),Egypt,Kafer El Sheikh,2004,Chicken,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),3,,,,,,,
AHAW VBD,645,"O. Faye, M. Diallo, D. Diop, O. E. Bezeid, H. Ba, M. Niang, I. Dia, S. A. O. Mohamed, K. Ndiaye, D. Diallo, P. O. Ly, B. Diallo, P. Nabeth, F. Simon, B. Lo and O. M. Diop. ""Rift valley fever outbreak with East-Central African virus lineage in Mauritania, 2003"". Emerging Infectious Diseases 13 (2007): 1016-1023",Farm,18 host (animal or human),Mauritania,Assaba,2003,Small Ruminants,Animal blood,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),10,,,,,,,
AHAW VBD,645,"O. Faye, M. Diallo, D. Diop, O. E. Bezeid, H. Ba, M. Niang, I. Dia, S. A. O. Mohamed, K. Ndiaye, D. Diallo, P. O. Ly, B. Diallo, P. Nabeth, F. Simon, B. Lo and O. M. Diop. ""Rift valley fever outbreak with East-Central African virus lineage in Mauritania, 2003"". Emerging Infectious Diseases 13 (2007): 1016-1023",Farm,11 host (animal or human),Mauritania,Trarza,2003,Small Ruminants,Animal blood,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),2,,,,,,,
AHAW VBD,645,"O. Faye, M. Diallo, D. Diop, O. E. Bezeid, H. Ba, M. Niang, I. Dia, S. A. O. Mohamed, K. Ndiaye, D. Diallo, P. O. Ly, B. Diallo, P. Nabeth, F. Simon, B. Lo and O. M. Diop. ""Rift valley fever outbreak with East-Central African virus lineage in Mauritania, 2003"". Emerging Infectious Diseases 13 (2007): 1016-1023",Household,98 host (animal or human),Mauritania,,2003,Human,Animal blood,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),NA,,,,,,,
AHAW VBD,645,"O. Faye, M. Diallo, D. Diop, O. E. Bezeid, H. Ba, M. Niang, I. Dia, S. A. O. Mohamed, K. Ndiaye, D. Diallo, P. O. Ly, B. Diallo, P. Nabeth, F. Simon, B. Lo and O. M. Diop. ""Rift valley fever outbreak with East-Central African virus lineage in Mauritania, 2003"". Emerging Infectious Diseases 13 (2007): 1016-1023",Farm,25 host (animal or human),Mauritania,Brakna,2003,Small Ruminants,Animal blood,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),13,,,,,,,
AHAW VBD,672,"A. A. Elfadil, K. A. Hasab-Allah, O. M. Dafa-Allah and A. A. Elmanea. ""The persistence of Rift Valley fever in the Jazan region of Saudi Arabia"". Revue Scientifique Et Technique-Office International Des Epizooties 25 (2006): 1131-1136",Farm,3794 host (animal or human),Saudi Arabia,Jazan,2004,Small Ruminants,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),1099,,,,,,,
AHAW VBD,672,"A. A. Elfadil, K. A. Hasab-Allah, O. M. Dafa-Allah and A. A. Elmanea. ""The persistence of Rift Valley fever in the Jazan region of Saudi Arabia"". Revue Scientifique Et Technique-Office International Des Epizooties 25 (2006): 1131-1136",Farm,6143 host (animal or human),Saudi Arabia,Jazan,2004,Small Ruminants,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),22,,,,,,,
AHAW VBD,698,"W. Chevalier, R. Lancelot, Y. Thiongane, B. Sall, A. Diaite and B. Mondet. ""Rift valley fever in small ruminants, Senegal, 2003"". Emerging Infectious Diseases 11 (2005): 1693-1700",Farm,610 host (animal or human),Senegal,Ferlo,2003,Small Ruminants,Blood serum,Rift Valley fever virus,Virus neutralisation test (VNT),NA,,,,,,,
AHAW VBD,699,"L. Marrama, A. Spiegel, K. Ndiaye, A. A. Sall, E. Gomes, M. Diallo, Y. Thiongane, C. Mathiot and J. P. Gonzalez. ""Domestic transmission of Rift Valley Fever virus in Diawara (Senegal) in 1998"". Southeast Asian Journal of Tropical Medicine and Public Health 36 (2005): 1487-1495",Household,1520 host (animal or human),Senegal,Tambakunda,1999,Human,Animal blood,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),79,,,,,,,
AHAW VBD,722,"G. Kluiters, V. Chaignat and H. Schwermer. ""Spatial distribution of Bluetongue surveillance and cases in Switzerland"". SAT, Schweizer Archiv fur Tierheilkunde 150 (2008): 543-552",Farm,9 herd/flock,Switzerland,JU/NE,2007,Cattle,Milk,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),1,,,,,,,
AHAW VBD,722,"G. Kluiters, V. Chaignat and H. Schwermer. ""Spatial distribution of Bluetongue surveillance and cases in Switzerland"". SAT, Schweizer Archiv fur Tierheilkunde 150 (2008): 543-552",Farm,12 herd/flock,Switzerland,VS,2007,Cattle,Milk,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),1,,,,,,,
AHAW VBD,722,"G. Kluiters, V. Chaignat and H. Schwermer. ""Spatial distribution of Bluetongue surveillance and cases in Switzerland"". SAT, Schweizer Archiv fur Tierheilkunde 150 (2008): 543-552",Farm,14 herd/flock,Switzerland,BS/BL/SO,2007,Cattle,Milk,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),1,,,,,,,
AHAW VBD,725,"P. Zanolari, V. Chaignat, C. Kaufmann, M. Mudry, C. Griot, B. Thuer and M. Meylan. ""Serological survey of bluetongue virus serotype-8 infection in South American camelids in Switzerland (2007-2008)"". Journal of Veterinary Internal Medicine 24 (#year#): 426-430",Farm,354 host (animal or human),Switzerland,Switzerland,2007,Alpaca,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),0,,,,,,,
AHAW VBD,743,"A. R. W. Elbers, J. Popma, S. Oosterwolde, P. A. v. Rijn, P. Vellema and E. M. A. v. Rooij. ""A cross-sectional study to determine the seroprevalence of bluetongue virus serotype 8 in sheep and goats in 2006 and 2007 in the Netherlands"". BMC Veterinary Research 4 (2008): (27 August 2008)",Farm,1975 host (animal or human),Netherlands,,2006,Goat,Blood serum,Bluetongue virus,"ELISA, Competitive ELISA (C-ELISA)",0,,,,,,,
AHAW VBD,743,"A. R. W. Elbers, J. Popma, S. Oosterwolde, P. A. v. Rijn, P. Vellema and E. M. A. v. Rooij. ""A cross-sectional study to determine the seroprevalence of bluetongue virus serotype 8 in sheep and goats in 2006 and 2007 in the Netherlands"". BMC Veterinary Research 4 (2008): (27 August 2008)",Farm,4252 host (animal or human),Netherlands,,2007,Sheep,Blood serum,Bluetongue virus,"ELISA, Competitive ELISA (C-ELISA)",1627,,,,,,,
AHAW VBD,743,"A. R. W. Elbers, J. Popma, S. Oosterwolde, P. A. v. Rijn, P. Vellema and E. M. A. v. Rooij. ""A cross-sectional study to determine the seroprevalence of bluetongue virus serotype 8 in sheep and goats in 2006 and 2007 in the Netherlands"". BMC Veterinary Research 4 (2008): (27 August 2008)",Farm,2555 host (animal or human),Netherlands,,2006,Sheep,Blood serum,Bluetongue virus,"ELISA, Competitive ELISA (C-ELISA)",17,,,,,,,
AHAW VBD,743,"A. R. W. Elbers, J. Popma, S. Oosterwolde, P. A. v. Rijn, P. Vellema and E. M. A. v. Rooij. ""A cross-sectional study to determine the seroprevalence of bluetongue virus serotype 8 in sheep and goats in 2006 and 2007 in the Netherlands"". BMC Veterinary Research 4 (2008): (27 August 2008)",Farm,1995 host (animal or human),Netherlands,,2007,Goat,Blood serum,Bluetongue virus,"ELISA, Competitive ELISA (C-ELISA)",204,,,,,,,
AHAW VBD,744,"A. Cagienard, F. Dall'Acqua, B. Thur, P. S. Mellor, E. Denison, C. Griot and K. D. Stark. ""Bluetongue surveillance in Switzerland in 2003: a serological and entomological survey"". Vet Ital 40 (2004): 133-6",Farm,1492 host (animal or human),Switzerland,,2003,,Animal blood,Bluetongue virus,"ELISA, Competitive ELISA (C-ELISA)",11,,,,,,,
AHAW VBD,751,"G. Gerbier, P. Hendrikx, F. Roger, S. Zientara, F. Biteau-Coroller, C. Grillet, T. Baldet and E. Albina. ""Bluetongue control using vaccines: experience of the Mediterranean islands"". #journal# #volume# (#year#): 611-615",Farm,306 host (animal or human),France,Corsica,2002,Sheep,Blood serum,Bluetongue virus,"ELISA, Competitive ELISA (C-ELISA)",132,,,,,,,
AHAW VBD,753,"B. Durand, G. Zanella, F. Biteau-Coroller, C. Locatelli, F. Baurier, C. Simon, E. l. Drean, J. Delaval, E. Prengere, V. Beaute and H. Guis. ""Anatomy of bluetongue virus serotype 8 epizootic wave, France, 2007-2008"". Emerging Infectious Diseases 16 (#year#): 1861-1868",Farm,874 host (animal or human),France,Cher,2007,Sheep,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),19,,,,,,,
AHAW VBD,753,"B. Durand, G. Zanella, F. Biteau-Coroller, C. Locatelli, F. Baurier, C. Simon, E. l. Drean, J. Delaval, E. Prengere, V. Beaute and H. Guis. ""Anatomy of bluetongue virus serotype 8 epizootic wave, France, 2007-2008"". Emerging Infectious Diseases 16 (#year#): 1861-1868",Farm,905 host (animal or human),France,Ille-et-Vilaine,2007,Cattle,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),2,,,,,,,
AHAW VBD,753,"B. Durand, G. Zanella, F. Biteau-Coroller, C. Locatelli, F. Baurier, C. Simon, E. l. Drean, J. Delaval, E. Prengere, V. Beaute and H. Guis. ""Anatomy of bluetongue virus serotype 8 epizootic wave, France, 2007-2008"". Emerging Infectious Diseases 16 (#year#): 1861-1868",Farm,326 host (animal or human),France,Indre,2007,Sheep,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),0,,,,,,,
AHAW VBD,753,"B. Durand, G. Zanella, F. Biteau-Coroller, C. Locatelli, F. Baurier, C. Simon, E. l. Drean, J. Delaval, E. Prengere, V. Beaute and H. Guis. ""Anatomy of bluetongue virus serotype 8 epizootic wave, France, 2007-2008"". Emerging Infectious Diseases 16 (#year#): 1861-1868",Farm,1410 host (animal or human),France,Maine-et-Loire,2007,Cattle,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),1,,,,,,,
AHAW VBD,753,"B. Durand, G. Zanella, F. Biteau-Coroller, C. Locatelli, F. Baurier, C. Simon, E. l. Drean, J. Delaval, E. Prengere, V. Beaute and H. Guis. ""Anatomy of bluetongue virus serotype 8 epizootic wave, France, 2007-2008"". Emerging Infectious Diseases 16 (#year#): 1861-1868",Farm,1500 host (animal or human),France,Indre-et-Loire,2007,Cattle,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),103,,,,,,,
AHAW VBD,753,"B. Durand, G. Zanella, F. Biteau-Coroller, C. Locatelli, F. Baurier, C. Simon, E. l. Drean, J. Delaval, E. Prengere, V. Beaute and H. Guis. ""Anatomy of bluetongue virus serotype 8 epizootic wave, France, 2007-2008"". Emerging Infectious Diseases 16 (#year#): 1861-1868",Farm,432 host (animal or human),France,Ille-et-Vilaine,2007,Sheep,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),0,,,,,,,
AHAW VBD,753,"B. Durand, G. Zanella, F. Biteau-Coroller, C. Locatelli, F. Baurier, C. Simon, E. l. Drean, J. Delaval, E. Prengere, V. Beaute and H. Guis. ""Anatomy of bluetongue virus serotype 8 epizootic wave, France, 2007-2008"". Emerging Infectious Diseases 16 (#year#): 1861-1868",Farm,1530 host (animal or human),France,Cher,2007,Cattle,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),642,,,,,,,
AHAW VBD,753,"B. Durand, G. Zanella, F. Biteau-Coroller, C. Locatelli, F. Baurier, C. Simon, E. l. Drean, J. Delaval, E. Prengere, V. Beaute and H. Guis. ""Anatomy of bluetongue virus serotype 8 epizootic wave, France, 2007-2008"". Emerging Infectious Diseases 16 (#year#): 1861-1868",Farm,1500 host (animal or human),France,Loir-et-Cher,2007,Cattle,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),203,,,,,,,
AHAW VBD,753,"B. Durand, G. Zanella, F. Biteau-Coroller, C. Locatelli, F. Baurier, C. Simon, E. l. Drean, J. Delaval, E. Prengere, V. Beaute and H. Guis. ""Anatomy of bluetongue virus serotype 8 epizootic wave, France, 2007-2008"". Emerging Infectious Diseases 16 (#year#): 1861-1868",Farm,1573 host (animal or human),France,Ardennes,2007,Cattle,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),1563,,,,,,,
AHAW VBD,753,"B. Durand, G. Zanella, F. Biteau-Coroller, C. Locatelli, F. Baurier, C. Simon, E. l. Drean, J. Delaval, E. Prengere, V. Beaute and H. Guis. ""Anatomy of bluetongue virus serotype 8 epizootic wave, France, 2007-2008"". Emerging Infectious Diseases 16 (#year#): 1861-1868",Farm,1470 host (animal or human),France,Indre,2007,Cattle,Animal blood,Bluetongue virus,Enzyme linked immunosorbent assay (ELISA),103,,,,,,,
AHAW VBD,864,"L. Solano-Gallego, P. Morell, M. Arboix, J. Alberola and L. Ferrer. ""Prevalence of Leishmania infantum infection in dogs living in an area of canine leishmaniasis endemicity using PCR on several tissues and serology"". Journal of Clinical Microbiology 39 (2001): 560-563",,100 host (animal or human),Spain,Mallorca,0,Dog,Animal blood,Leishmania infantum,Enzyme linked immunosorbent assay (ELISA),26,,,,,,,
AHAW VBD,1013," I. A. Adam, M. A. M. Mahmoud, I. E. Aradaib. ""A seroepidemiological survey of Crimean Congo hemorrhagic fever among cattle in North Kordufan state, Sudan"". Virology Journal 10 (2013): (5 June 2013)-(5 June 2013)",,229 host (animal or human),Sudan,Northern Kordofan,2009,,,Bluetongue virus,IgG ELISA,58,,,,,,,
AHAW VBD,1014," A. P. Adams, R. Navarro-Lopez, F. J. Ramirez-Aguilar, I. Lopez-Gonzalez, G. Leal, J. M. Flores-Mayorga, A. P. Travassos da Rosa, K. D. Saxton-Shaw, A. J. Singh, E. M. Borland, A. M. Powers, R. B. Tesh, S. C. Weaver, J. G. Estrada-Franco. ""Venezuelan equine encephalitis virus activity in the Gulf Coast region of Mexico, 2003-2010"". PLoS Negl Trop Dis 6 (2012): 1",,506 host (animal or human),Honduras,Veracruz,2003,Equines,,Venezuelan equine encephalitis virus,,265,,,,,,,
AHAW VBD,1014," A. P. Adams, R. Navarro-Lopez, F. J. Ramirez-Aguilar, I. Lopez-Gonzalez, G. Leal, J. M. Flores-Mayorga, A. P. Travassos da Rosa, K. D. Saxton-Shaw, A. J. Singh, E. M. Borland, A. M. Powers, R. B. Tesh, S. C. Weaver, J. G. Estrada-Franco. ""Venezuelan equine encephalitis virus activity in the Gulf Coast region of Mexico, 2003-2010"". PLoS Negl Trop Dis 6 (2012): 1",,126 host (animal or human),Honduras,Veracruz,2003,Equines,,Venezuelan equine encephalitis virus,,38,,,,,,,
AHAW VBD,1014," A. P. Adams, R. Navarro-Lopez, F. J. Ramirez-Aguilar, I. Lopez-Gonzalez, G. Leal, J. M. Flores-Mayorga, A. P. Travassos da Rosa, K. D. Saxton-Shaw, A. J. Singh, E. M. Borland, A. M. Powers, R. B. Tesh, S. C. Weaver, J. G. Estrada-Franco. ""Venezuelan equine encephalitis virus activity in the Gulf Coast region of Mexico, 2003-2010"". PLoS Negl Trop Dis 6 (2012): 1",,23 host (animal or human),Honduras,Veracruz,2003,Equines,,Venezuelan equine encephalitis virus,,39,,,,,,,
AHAW VBD,1014," A. P. Adams, R. Navarro-Lopez, F. J. Ramirez-Aguilar, I. Lopez-Gonzalez, G. Leal, J. M. Flores-Mayorga, A. P. Travassos da Rosa, K. D. Saxton-Shaw, A. J. Singh, E. M. Borland, A. M. Powers, R. B. Tesh, S. C. Weaver, J. G. Estrada-Franco. ""Venezuelan equine encephalitis virus activity in the Gulf Coast region of Mexico, 2003-2010"". PLoS Negl Trop Dis 6 (2012): 1",,506 host (animal or human),Mexico,Tabasco,2003,Equines,,Venezuelan equine encephalitis virus,,265,,,,,,,
AHAW VBD,1014," A. P. Adams, R. Navarro-Lopez, F. J. Ramirez-Aguilar, I. Lopez-Gonzalez, G. Leal, J. M. Flores-Mayorga, A. P. Travassos da Rosa, K. D. Saxton-Shaw, A. J. Singh, E. M. Borland, A. M. Powers, R. B. Tesh, S. C. Weaver, J. G. Estrada-Franco. ""Venezuelan equine encephalitis virus activity in the Gulf Coast region of Mexico, 2003-2010"". PLoS Negl Trop Dis 6 (2012): 1",,129 host (animal or human),Mexico,Tamaulipas,2003,Equines,,Venezuelan equine encephalitis virus,,22,,,,,,,
AHAW VBD,1014," A. P. Adams, R. Navarro-Lopez, F. J. Ramirez-Aguilar, I. Lopez-Gonzalez, G. Leal, J. M. Flores-Mayorga, A. P. Travassos da Rosa, K. D. Saxton-Shaw, A. J. Singh, E. M. Borland, A. M. Powers, R. B. Tesh, S. C. Weaver, J. G. Estrada-Franco. ""Venezuelan equine encephalitis virus activity in the Gulf Coast region of Mexico, 2003-2010"". PLoS Negl Trop Dis 6 (2012): 1",,0 host (animal or human),Mexico,Aldama,2003,Equines,,Venezuelan equine encephalitis virus,,0,,,,,,,
AHAW VBD,1017," F. Ahmadnejad, V. Otarod, M. H. Fallah, S. Lowenski, R. Sedighi-Moghaddam, A. Zavareh, B. Durand, S. Lecollinet, P. Sabatier. ""Spread of West Nile virus in Iran: a cross-sectional serosurvey in equines, 2008-2009"". Epidemiology and Infection 139 (2011): 1587-1593",,1054 host (animal or human),"Iran, Islamic Republic of",,2009,Equines,,West Nile virus,,249,,,,,,,
AHAW VBD,1018," B. Ahmadu, C. E. A. Lovelace, K. L. Samui, S. Mahan. ""Some observations on the sero-prevalence of heartwater and tick infestation in Zambian goats"". Onderstepoort Journal of Veterinary Research 71 (2004): 161-164",,451 host (animal or human),Zambia,Southern,2003,Goat,,Ehrlichia ruminantium,,181,,,,,,,
AHAW VBD,1021," M. P. Borujeni, A. R. G. Mashadi, M. R. S. A. Shapouri, M. Zeinvand. ""Aserological survey on antibodies against West Nile virus in horses of Khuzestan province"". Iranian Journal of Veterinary Medicine 7 (2013): 185-238",,155 host (animal or human),"Iran, Islamic Republic of",Khuzestan,2011,Equines,,West Nile virus,IgG ELISA,109,,,,,,,
AHAW VBD,1022," Analia Burgueno, Lorena Spinsanti, Luis Adrian Diaz, Maria Elisa Rivarola, Juan Arbiza, Marta Contigiani, Adriana Delfraro. ""Seroprevalence of St. Louis encephalitis virus and West Nile virus (Flavivirus, Flaviviridae) in horses, Uruguay"". BioMed research international 2013 (2013): 582957-582957",,425 host (animal or human),Uruguay,,2007,Equines,,St. Louis encephalitis virus,,207,,,,,,,
AHAW VBD,1029," Armin R. W. Elbers, Willie L. A. Loeffen, Sjaak Quak, Els de Boer-Luijtze, Arco N. van der Spek, Ruth Bouwstra, Riks Maas, Marcel A. H. Spierenburg, Eric P. de Kluijver, Gerdien van Schaik, Wim H. M. van der Poel. ""Seroprevalence of Schmallenberg Virus Antibodies among Dairy Cattle, the Netherlands, Winter 2011-2012"". Emerging Infectious Diseases 18 (2012): 1065-1071",,1123 host (animal or human),Netherlands,,2011,Cattle,,Schmallenberg virus,Virus neutralisation test (VNT),814,,,,,,,
AHAW VBD,1030," Amira M. Elhassan, Mohammed E. A. Mansour, Awadia A. A. Shamon, A. M. El Hussein. ""A serological survey of akabane virus infection in cattle in Sudan"". ISRN veterinary science 2014 (2014): 123904-123904",,361 host (animal or human),Sudan,,0,Cattle,,Akabane virus,Enzyme linked immunosorbent assay (ELISA),106,,,,,,,
AHAW VBD,1031," H. Ende, H. Tassew, E. Balcha, K. Amsalu, D. Gizaw. ""Seroprevalence of African horse sickness at central highland of Ethiopia"". Advances in Animal and Veterinary Sciences 1 (2013): 84-87",,546 host (animal or human),Ethiopia,Oromia,2011,Equines,,African horse sickness virus,"ELISA, Competitive ELISA (C-ELISA)",252,,,,,,,
AHAW VBD,1032," Eric M. C. Etter, Ismaila Seck, Vladimir Grosbois, Ferran Jori, Esther Blanco, Laurence Vial, Ayayi J. Akakpo, Rianatou Bada-Alhambedji, Philippe Kone, Francois L. Roger. ""Seroprevalence of African Swine Fever in Senegal, 2006"". Emerging Infectious Diseases 17 (2011): 49-54",,149 host (animal or human),Senegal,Fatick,2006,Pig,,African swine fever virus,IgG ELISA,20,,,,,,,
AHAW VBD,1032," Eric M. C. Etter, Ismaila Seck, Vladimir Grosbois, Ferran Jori, Esther Blanco, Laurence Vial, Ayayi J. Akakpo, Rianatou Bada-Alhambedji, Philippe Kone, Francois L. Roger. ""Seroprevalence of African Swine Fever in Senegal, 2006"". Emerging Infectious Diseases 17 (2011): 49-54",,317 host (animal or human),Senegal,Ziguinchor,2006,Pig,,African swine fever virus,IgG ELISA,70,,,,,,,
AHAW VBD,1032," Eric M. C. Etter, Ismaila Seck, Vladimir Grosbois, Ferran Jori, Esther Blanco, Laurence Vial, Ayayi J. Akakpo, Rianatou Bada-Alhambedji, Philippe Kone, Francois L. Roger. ""Seroprevalence of African Swine Fever in Senegal, 2006"". Emerging Infectious Diseases 17 (2011): 49-54",,281 host (animal or human),Senegal,Kolda,2006,Pig,,African swine fever virus,IgG ELISA,22,,,,,,,
AHAW VBD,1035," Jose Fafetine, Luis Neves, Peter N. Thompson, Janusz T. Paweska, Victor P. M. G. Rutten, J. A. W. Coetzer. ""Serological Evidence of Rift Valley Fever Virus Circulation in Sheep and Goats in Zambezia Province, Mozambique"". Plos Neglected Tropical Diseases 7 (2013): #pages#",,313 host (animal or human),Mozambique,Zambezia,2010,Sheep,,Rift Valley fever virus,IgG ELISA,29,,,,,,,
AHAW VBD,1035," Jose Fafetine, Luis Neves, Peter N. Thompson, Janusz T. Paweska, Victor P. M. G. Rutten, J. A. W. Coetzer. ""Serological Evidence of Rift Valley Fever Virus Circulation in Sheep and Goats in Zambezia Province, Mozambique"". Plos Neglected Tropical Diseases 7 (2013): #pages#",,449 host (animal or human),Mozambique,Zambezia,2010,Goat,,Rift Valley fever virus,IgG ELISA,50,,,,,,,
AHAW VBD,1036," Luka Fajs, Isme Humolli, Ana Saksida, Natasa Knap, Mateja Jelovsek, Misa A. Korva, Isuf Dedushaj, Tatjana Avsic-Zupanc. ""Prevalence of Crimean-Congo Hemorrhagic Fever Virus in Healthy Population, Livestock and Ticks in Kosovo"". PLoS ONE 9 (2014): #pages#",,1105 host (animal or human),Serbia,Kosovo,2012,Human,,Crimean-Congo haemorrhagic fever virus,IgG ELISA,44,,,,,,,
AHAW VBD,1036," Luka Fajs, Isme Humolli, Ana Saksida, Natasa Knap, Mateja Jelovsek, Misa A. Korva, Isuf Dedushaj, Tatjana Avsic-Zupanc. ""Prevalence of Crimean-Congo Hemorrhagic Fever Virus in Healthy Population, Livestock and Ticks in Kosovo"". PLoS ONE 9 (2014): #pages#",,794 host (animal or human),Serbia,Kosovo,2012,Small Ruminants,,Crimean-Congo haemorrhagic fever virus,IgG ELISA,141,,,,,,,
